Value,Category
99.66242823,A
100.6437074,A
96.04161021,A
67.1487169,A
102.6834936,A
98.4734529,A
80.54889037,A
88.49327578,A
70.55483027,A
101.1620826,A
85.6967677,A
98.85586765,A
84.35641708,A
94.25846596,A
98.11184995,A
84.49369224,A
96.50476668,A
101.3880661,A
80.31768672,A
78.15862555,A
105.3737878,A
85.46280783,A
83.42787813,A
106.3309261,A
89.58265778,A
108.4353495,B
108.2112873,B
115.4998833,B
109.5192395,B
108.9505446,B
108.5799129,B
109.6620829,B
114.9333525,B
111.1311019,B
107.5079295,B
110.3135825,B
111.4598266,B
106.7377056,B
110.5882695,B
112.3757462,B
110.4896694,B
111.8883585,B
110.5513214,B
110.4984517,B
107.5792447,B
110.6126467,B
109.0073873,B
108.9931801,B
109.7361013,B
111.9215812,B
84.55008541,C
80.53863323,C
73.11609667,C
79.07100858,C
79.88818429,C
83.684349,C
84.4441087,C
82.02203376,C
72.47239304,C
72.95031348,C
74.28793994,C
81.39882043,C
76.56621752,C
77.14578224,C
73.03719706,C
80.66499072,C
76.7241461,C
80.10626672,C
84.47617661,C
83.94623121,C
82.7416882,C
70.8309458,C
79.53248661,C
83.67278651,C
75.22374524,C
111.0548077,D
95.20608169,D
116.8981849,D
105.5721666,D
82.1393823,D
94.52040897,D
101.9137564,D
105.2270462,D
125.2493922,D
81.1645857,D
112.5690024,D
81.38210785,D
89.7092797,D
95.89342782,D
106.7990871,D
128.4860197,D
108.5194971,D
80.20174037,D
112.3704278,D
82.23548015,D
74.24039982,D
81.85439744,D
143.5301273,D
102.8899329,D
118.0280012,D
